detections.time,PITTAG
multiple,384.1B796A416D
multiple,384.1B796A4334
multiple,384.1B796A4609
multiple,384.1B796A4806
multiple,384.1B796BB0ED
multiple,384.1B796BB101
multiple,384.1B796BB102
multiple,384.1B796BB4E2
multiple,384.1B796BBCD8
multiple,384.1B796BC0B9
multiple,384.1B796BC278
multiple,384.1B796BC358
multiple,384.1B796FA3CB
multiple,384.1B796FB1F9
multiple,384.36F2B24BF5
multiple,384.36F2B24EE5
multiple,384.36F2B25741
multiple,384.36F2B28A58
multiple,384.36F2B2901A
multiple,384.36F2B2901C
multiple,384.36F2B294E3
multiple,384.36F2B297C2
multiple,384.36F2B29CA9
multiple,384.36F2B29D84
multiple,384.36F2B2A072
multiple,384.36F2B2A078
multiple,384.3B2399AAC4
multiple,384.3B2399BBF2
multiple,384.3B2399E7AA
multiple,3D9.1BF1991F96
multiple,3D9.1BF19F31C3
multiple,3D9.1BF1A059DC
multiple,3D9.1BF1A0E9D7
multiple,3D9.1BF1CD2829
multiple,3D9.1BF1CD34A3
multiple,3D9.1BF1CD5904
multiple,3D9.1BF1D8934F
multiple,3D9.1BF1FF39E4
multiple,3D9.1BF1FF3A4B
multiple,3D9.1BF20F8BB3
multiple,3D9.1BF20FACC6
multiple,3D9.1BF210DB37
multiple,3D9.1BF22A7A8A
multiple,3D9.1BF2422568
multiple,3D9.1BF24E193B
multiple,3D9.1BF24E67B9
multiple,3D9.1BF252EDA0
multiple,3D9.1BF252F652
multiple,3D9.1BF252F8A8
multiple,3D9.1BF25603F5
multiple,3D9.1BF2561F29
multiple,3D9.1BF25628EA
multiple,3D9.1BF25737F5
multiple,3D9.1C2C97EDD8
multiple,3D9.1C2C988B2D
multiple,3D9.1C2C9896C2
multiple,3D9.1C2C9C68B3
multiple,3D9.1C2C9CD505
multiple,3D9.1C2C9CD5EA
multiple,3D9.1C2D14FE14
multiple,3D9.1C2D267B83
multiple,3D9.1C2D2694A4
multiple,3D9.1C2D269BD4
multiple,3D9.1C2D3C4B6D
multiple,3D9.1C2D3C7763
multiple,3D9.1C2D3D8EEB
multiple,3D9.1C2D3D9626
multiple,3D9.1C2D3DA00F
multiple,3D9.1C2D3DA056
multiple,3D9.1C2D3DA52D
multiple,3D9.1C2D3DA899
multiple,3D9.1C2D3DAF05
multiple,3D9.1C2D3DBC69
multiple,3D9.1C2D3F6896
multiple,3D9.1C2D3F6CB7
multiple,3D9.1C2D3F75A0
multiple,3D9.1C2D3F8B81
multiple,3D9.1C2D3F9311
multiple,3D9.1C2D3F9584
multiple,3D9.1C2D41BB45
multiple,3D9.1C2D41CD94
multiple,3D9.1C2D89B0DA
multiple,3D9.1C2D89CB1E
multiple,3D9.1C2D8ADCD5
multiple,3D9.1C2D8BC554
multiple,3D9.1C2D8C1A83
multiple,3D9.1C2D8C5849
multiple,3D9.1C2D8C7114
multiple,3D9.1C2D8C8A39
multiple,3D9.1C2D8DBD47
multiple,3D9.1C2D8E96F2
multiple,3D9.1C2D8F0FD4
multiple,3D9.1C2D903846
multiple,3D9.1C2D904802
multiple,3D9.1C2DE2B1BC
multiple,3DD.003B9C2A5A
multiple,3DD.003B9C2AD7
multiple,3DD.003B9C2B16
multiple,3DD.003B9C2CA2
multiple,3DD.003B9C2CD5
multiple,3DD.003BA00DD3
multiple,3DD.003BA0100E
multiple,3DD.003BA0135E
multiple,3DD.003BA0174C
multiple,3DD.003BA01A6F
multiple,3DD.003BA01D1D
multiple,3DD.003BA02398
multiple,3DD.003BA023A2
multiple,3DD.003BA02917
multiple,3DD.003BA02950
multiple,3DD.003BA02DE2
multiple,3DD.003BA02E1B
multiple,3DD.003BA034A6
multiple,3DD.003BA038E1
multiple,3DD.003BA047FD
multiple,3DD.003BA0480F
multiple,3DD.003BA0484A
multiple,3DD.003BA049E7
multiple,3DD.003BA04CA6
multiple,3DD.003BA04CB5
multiple,3DD.003BA04D09
multiple,3DD.003BA04D4A
multiple,3DD.003BA04E4B
multiple,3DD.003BA055EA
multiple,3DD.003BA055F1
multiple,3DD.003BA07CB2
multiple,3DD.003BA08CC8
multiple,3DD.003BA08F17
multiple,3DD.003BA20B70
multiple,3DD.003BA21CF2
multiple,3DD.003BA21D38
multiple,3DD.003BA21EB3
multiple,3DD.003BA220F5
multiple,3DD.003BA2228B
multiple,3DD.003BA222A5
multiple,3DD.003BA2230B
multiple,3DD.003BA223CC
multiple,3DD.003BA22760
multiple,3DD.003BA229A2
multiple,3DD.003BA22C93
multiple,3DD.003BA22C96
multiple,3DD.003BC8A7FB
multiple,3DD.003BC8A80B
multiple,3DD.003BC8EF78
multiple,3DD.003BC8EFFE
multiple,3DD.003BCA5BBE
multiple,3DD.003BCA5BFB
multiple,3DD.003BCA5E08
multiple,3DD.003BCA5E54
multiple,3DD.003BCA602F
multiple,3DD.003BCA6046
multiple,3DD.003BCA6051
multiple,3DD.003BCA6198
multiple,3DD.003BCA6794
multiple,3DD.003BCA6796
multiple,3DD.003BCA7969
multiple,3DD.003BCA7E25
multiple,3DD.003BCA7E4B
multiple,3DD.003BCA7E5F
multiple,3DD.003BCA7EC7
multiple,3DD.003BCA83AE
multiple,3DD.003BCA84F1
multiple,3DD.003BCA8669
multiple,3DD.003BCA88B9
multiple,3DD.003BCA8D8F
multiple,3DD.003BCA8D93
multiple,3DD.003BCA8D9B
multiple,3DD.003BCA93BF
multiple,3DD.003BCA9EC9
multiple,3DD.003BCA9EDE
multiple,3DD.003BCA9F42
multiple,3DD.003BCA9F4C
multiple,3DD.003BCA9FB4
multiple,3DD.003BCAA029
multiple,3DD.003BCAA494
multiple,3DD.003BCAA607
multiple,3DD.003BCAA6A0
multiple,3DD.003BCAA6D3
multiple,3DD.003BCAA6EB
multiple,3DD.003BCAA861
multiple,3DD.003BCAA94B
multiple,3DD.003BCAA963
multiple,3DD.003BCAA977
multiple,3DD.003BCAAA81
multiple,3DD.003BCAAB4B
multiple,3DD.003BCAB190
multiple,3DD.003BCAB198
multiple,3DD.003BCAB25B
multiple,3DD.003BCAB270
multiple,3DD.003BCAB272
multiple,3DD.003BCAB33F
multiple,3DD.003BCAB385
multiple,3DD.003BCAB3D8
multiple,3DD.003BCAB462
multiple,3DD.003BCAB69F
multiple,3DD.003BCAB6AA
multiple,3DD.003BCABAA6
multiple,3DD.003BCABC1D
multiple,3DD.003BCABD53
multiple,3DD.003BCACB03
multiple,3DD.003BCACD75
multiple,3DD.003BCB1EA6
multiple,3DD.003BCB20B9
multiple,3DD.003BCB20FB
multiple,3DD.003BCB2101
multiple,3DD.003BCB228F
multiple,3DD.003BCB2DAD
multiple,3DD.003BCB3222
multiple,3DD.003BCB3258
multiple,3DD.003BCB355E
multiple,3DD.003BCB35A2
multiple,3DD.003BCB3629
multiple,3DD.003BCB3630
multiple,3DD.003BCB3645
multiple,3DD.003BCB3646
multiple,3DD.003BCB366D
multiple,3DD.003BCB366F
multiple,3DD.003BCB37A8
multiple,3DD.003BCB3D97
multiple,3DD.003BCB3DAA
multiple,3DD.003BCB3DB5
multiple,3DD.003BCB3E65
multiple,3DD.003BCB3E99
multiple,3DD.003BCB4279
multiple,3DD.003BCB4287
multiple,3DD.003BCB428C
multiple,3DD.003BCB43A3
multiple,3DD.003BCF2C6E
multiple,3DD.003BCF33B4
multiple,3DD.003BCF33F1
multiple,3DD.003BCF35FA
multiple,3DD.003BCF3BAA
multiple,3DD.003BCF3C44
multiple,3DD.003BCF3D8A
multiple,3DD.003BCF3EF7
multiple,3DD.003BCF3F02
multiple,3DD.003BCF400F
multiple,3DD.003BCF4021
multiple,3DD.003BCF42C5
multiple,3DD.003BCF43B9
multiple,3DD.003BCF46F2
multiple,3DD.003BCF5037
multiple,3DD.003BCF66EB
multiple,3DD.003BCF66EC
multiple,3DD.003BCF6718
multiple,3DD.003BCF6AF4
multiple,3DD.003BCF7073
multiple,3DD.003BCF7346
multiple,3DD.003BCF7369
multiple,3DD.003BCF73B3
multiple,3DD.003BEF4834
multiple,3DD.003BEF4850
multiple,3DD.003BEF485C
multiple,3DD.003BEF4A03
multiple,3DD.003BEF4B36
multiple,3DD.003BEF4E84
multiple,3DD.003BEF5043
multiple,3DD.003BEF5060
multiple,3DD.003BEF83A7
multiple,3DD.003BEF841A
multiple,3DD.003BEF8708
multiple,3DD.003BEF88BA
multiple,3DD.003BEF8A19
multiple,3DD.003BEF8A4F
multiple,3DD.003BEF8A59
multiple,3DD.003BEF8A74
multiple,3DD.003BEF8A7E
multiple,3DD.003BEF8AE2
multiple,3DD.003BEF8B81
multiple,3DD.003BEF90AE
multiple,3DD.003BEF90B1
multiple,3DD.003BEF9272
multiple,3DD.003BEF9294
multiple,3DD.003BEF92A5
multiple,3DD.003BEF92C7
multiple,3DD.003BEF971D
multiple,3DD.003BEF98AE
multiple,3DD.003BEF9E4F
multiple,3DD.003BEF9EE6
multiple,3DD.003BEFA4A0
multiple,3DD.003BEFAE9C
multiple,3DD.003BEFB40B
multiple,3DD.003BEFB428
multiple,3DD.003BEFB458
multiple,3DD.003BEFB53E
multiple,3DD.003BEFB5CA
multiple,3DD.003BEFB5DA
multiple,3DD.003BEFB5DD
multiple,3DD.003BEFB5F1
multiple,3DD.003BEFB7C3
multiple,3DD.003BEFB9C2
multiple,3DD.003BEFBA23
multiple,3DD.003BEFBB8F
multiple,3DD.003BEFBC2D
multiple,3DD.003BEFD17F
multiple,3DD.003BEFD24B
multiple,3DD.003BEFDBE7
multiple,3DD.003BEFE009
multiple,3DD.003BEFE00F
multiple,3DD.003BEFE117
multiple,3DD.003BEFE1BD
multiple,3DD.003BEFE1DF
multiple,3DD.003BEFE2EF
multiple,3DD.003BFB0040
multiple,3DD.003BFB01E4
multiple,3DD.003BFB021A
multiple,3DD.003BFB0860
multiple,3DD.003BFB0DA7
multiple,3DD.003BFB117E
multiple,3DD.003BFB1F42
multiple,3DD.003BFB2755
multiple,3DD.003BFB40CE
multiple,3DD.003BFB410A
multiple,3DD.003BFB412A
multiple,3DD.003BFB4134
multiple,3DD.003BFB416C
multiple,3DD.003BFB4387
multiple,3DD.003BFB4393
multiple,3DD.003BFB43A8
multiple,3DD.003BFB44F9
multiple,3DD.003BFB4500
multiple,3DD.003BFB4504
multiple,3DD.003BFB4507
multiple,3DD.003BFB4514
multiple,3DD.003BFB451B
multiple,3DD.003BFB4540
multiple,3DD.003BFB454D
multiple,3DD.003BFB47A4
multiple,3DD.003BFB490D
multiple,3DD.003BFB4937
multiple,3DD.003BFB4BE8
multiple,3DD.003BFB4EB5
multiple,3DD.003BFB4F27
multiple,3DD.003BFB4F2C
multiple,3DD.003BFB4F30
multiple,3DD.003BFB4F37
multiple,3DD.003BFB4F40
multiple,3DD.003BFB4F49
multiple,3DD.003BFB4F64
multiple,3DD.003BFB4F78
multiple,3DD.003BFB5173
multiple,3DD.003BFB5194
multiple,3DD.003BFB519C
multiple,3DD.003BFB51A6
multiple,3DD.003BFB51B0
multiple,3DD.003BFB51B2
multiple,3DD.003BFB51B9
multiple,3DD.003BFB51CA
multiple,3DD.003BFB51CC
multiple,3DD.003BFB51CF
multiple,3DD.003BFB5219
multiple,3DD.003BFB6B3B
multiple,3DD.003BFB6B40
multiple,3DD.003BFB6B46
multiple,3DD.003BFB6B47
multiple,3DD.003BFB6B6D
multiple,3DD.003BFB6B6F
multiple,3DD.003BFB6B73
multiple,3DD.003BFB6B74
multiple,3DD.003BFC7D20
multiple,3DD.003BFC8042
multiple,3DD.003BFC812E
multiple,3DD.003BFC81F6
multiple,3DD.003BFC8630
multiple,3DD.003BFC8635
multiple,3DD.003BFC8636
multiple,3DD.003BFC8F78
multiple,3DD.003BFC9052
multiple,3DD.003BFC90E2
multiple,3DD.003BFC9707
multiple,3DD.003BFC9723
multiple,3DD.003BFC9727
multiple,3DD.003BFC972B
multiple,3DD.003BFC99D1
multiple,3DD.003BFC99D4
multiple,3DD.003BFC99DC
multiple,3DD.003BFC99E2
multiple,3DD.003BFC99F8
multiple,3DD.003BFC99FF
multiple,3DD.003BFC9A03
multiple,3DD.003BFC9A23
multiple,3DD.003BFC9A2C
multiple,3DD.003BFC9A56
multiple,3DD.003BFC9AA0
multiple,3DD.003BFC9BFA
multiple,3DD.003BFC9C01
multiple,3DD.003BFC9C16
multiple,3DD.003BFC9C1B
multiple,3DD.003BFC9C28
multiple,3DD.003BFC9C2E
multiple,3DD.003BFC9CE2
multiple,3DD.003BFC9D09
multiple,3DD.003BFC9D8A
multiple,3DD.003BFC9DC0
multiple,3DD.003BFC9DC4
multiple,3DD.003BFC9DC5
multiple,3DD.003BFC9DCF
multiple,3DD.003BFC9F8C
multiple,3DD.003BFCA0AF
multiple,3DD.003BFCA0BD
multiple,3DD.003BFCE0FA
multiple,3DD.003BFCE490
multiple,3DD.003BFCE694
multiple,3DD.003BFCE69C
multiple,3DD.003BFCE6A8
multiple,3DD.003BFCE6B0
multiple,3DD.003BFCE6BB
multiple,3DD.003BFCE6BD
multiple,3DD.003BFCE6CD
multiple,3DD.003BFCE6D1
multiple,3DD.003BFCE6D4
multiple,3DD.003BFCE6DB
multiple,3DD.003BFCE6E2
multiple,3DD.003BFCE6E7
multiple,3DD.003BFCE85C
multiple,3DD.003BFCE892
multiple,3DD.003BFCE89C
multiple,3DD.003BFCE89D
multiple,3DD.003BFCE8A3
multiple,3DD.003BFCE8D7
multiple,3DD.003BFCE8DA
multiple,3DD.003BFCE910
multiple,3DD.003BFCE98C
multiple,3DD.003BFCEA39
multiple,3DD.003BFCEA41
multiple,3DD.003BFCEA78
multiple,3DD.003BFCEA79
multiple,3DD.003BFCEA7B
multiple,3DD.003BFCEA7C
multiple,3DD.003BFCEA8F
multiple,3DD.003BFCEA94
multiple,3DD.003BFCEA95
multiple,3DD.003BFCEA9C
multiple,3DD.003BFCEAA0
multiple,3DD.003BFCEAA5
multiple,3DD.003BFCEAAA
multiple,3DD.003BFCEAB5
multiple,3DD.003BFCEABA
multiple,3DD.003BFCEABC
multiple,3DD.003BFCEAC4
multiple,3DD.003BFCEAC6
multiple,3DD.003BFCEACD
multiple,3DD.003BFCEACF
multiple,3DD.003BFCEB09
multiple,3DD.003BFCEB10
multiple,3DD.003BFCEC13
multiple,3DD.003BFCEDB1
multiple,3DD.003BFCEE07
multiple,3DD.003BFCEE09
multiple,3DD.003BFCEE0D
multiple,3DD.003BFCEE1C
multiple,3DD.003BFCEE1E
multiple,3DD.003BFCEE2E
multiple,3DD.003BFCEE62
multiple,3DD.003BFCEE70
multiple,3DD.003BFCEE93
multiple,3DD.003BFCEE96
multiple,3DD.003C077B06
multiple,3DD.003D4D365A
multiple,3DD.003D4D4651
multiple,3DD.003D4D469A
multiple,3DD.003D4D4749
multiple,3DD.003D4D48E5
multiple,3DD.003D4D525B
